"29;@bengkeldodo @KEBUMENinLOVE @INDONESIAinLOVE @Bencana_ID @kabargeologi @Vulcano_Game @AndreasSolusi @alextham878 @AnugrahrizkyFFD @AntiPekines @fahiraidris @gibran_tweet Wonderful scene 🇮🇩️"",""1663908794995179523"","""",""bengkeldodo"",""en"",""Khoiril Anwar"",""0"",""2"",""0"",""https://x.com/KhoirilAnwar_/status/1663908794995179523"",""1015531697226444800"",""KhoirilAnwar_""";
"30;@tvOneNews Kok tidak ada peringatan dini dr pihak yg berwenang @infoBMKG @Bencana_ID katanya Alatnya EWS lg rusak Padahal bbrp bulan belakangan ada tanda gempa piye toch ?"",""1467341154496643074"","""",""tvOneNews"",""in"",""Makasar, Indonesia"",""0"",""0"",""0"",""https://x.com/mochyusran/status/1467341154496643074"",""223174099"",""mochyusran""";
"31;Yang penasaran sama ancaman bencana di tempat wisata Yuuuk join sama kita Sabtu ini #mitigasibencana #penguranganrisikobencana @infomitigasi @Bencana_ID https://t.co/KaIf0icWMr"",""1374946094052823043"",""https://pbs.twimg.com/media/ExTKK3kVoAEnyG4.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/liensu/status/1374946094052823043"",""133591587"",""liensu""";
"32;Kalo penasaran yuuk join di diskusi besok bareng sama aku Yuuk join kawan @infomitigasi @Bencana_ID @bencanaID @disasterdotco https://t.co/HeiacOGOMQ"",""1370328618035900422"",""https://pbs.twimg.com/media/EwRih0ZVEAAbFfF.jpg"",""liensu"",""in"","""",""0"",""1"",""0"",""https://x.com/liensu/status/1370328618035900422"",""133591587"",""liensu""";
"33;Peta https://t.co/qUC4IeeTkj"",""1328601587795841024"","""","""",""in"",""Banyuwangi, Indonesia"",""0"",""1"",""0"",""https://x.com/BobyXKrishna2/status/1328601587795841024"",""906719947543388160"",""BobyXKrishna2""";
"34;Bencana lumpur lapindo ";
"35;Kesiapsiagaan Bencana dilingkungan Lembaga Usaha #SiapUntukSelamat #BudayaSadarBencana #KitaJagaALAMJagaKita #HKB2021 #HKB26April @Bencana_ID @petabencana https://t.co/cy1umMUMB8"",""1386030875943477248"",""https://pbs.twimg.com/media/Ezwru1KVoAAqzqn.jpg"","""",""in"",""Jakarta Timur, DKI Jakarta"",""0"",""0"",""3"",""https://x.com/hkb_26april/status/1386030875943477248"",""843780443321192448"",""hkb_26april""";
"36;Indonesia bersatu tangani bencana Mari kita kuatkan saudara kita di NTT untuk tetap bertahan meski bencana melanda. #SolidaritasUntukNTT Bersatu Tangani Bencana id"",""1379246807427911680"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/agusna86/status/1379246807427911680"",""1282159754295406592"",""agusna86""";
"37;@Gempa_Tsunami @PutraErlangga_ @bencana. Id"",""1352278582018469893"","""",""Gempa_Tsunami"",""und"",""Ranah Minang Indonesia"",""0"",""0"",""0"",""https://x.com/edigibrain/status/1352278582018469893"",""173111333"",""edigibrain""";
"38;Tetap hati2 bpk ibu adek2 dulur2 dan semoga bala bantuan sgr datang km disini ttp berdoa utk kebaikan kt smua..@BNPB_Indonesia @FiersaBesari @sudjiwotedjo @Bencana_ID"",""1467095224618917888"","""","""",""in"",""SERANG-D.K.I-D.I.Y-BALIKPAPAN"",""0"",""0"",""0"",""https://x.com/MuhamadWiryawan/status/1467095224618917888"",""232407824"",""MuhamadWiryawan""";
